#key, created, size, mimetype
D_DepTotalSmpConcentration_NaUNITmgxL-1_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T17:10:40.390696+00:00,21192,application/octet-stream
D_DepTotalSmpConcentration_NH4UNITmgxL-1_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T17:10:40.402831+00:00,22230,application/octet-stream
D_DepTotalSmpConcentration_NO3UNITmgxL-1_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T17:10:40.415656+00:00,22246,application/octet-stream
D_DepTotalSmpConcentration_SO4UNITmgxL-1_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T17:10:40.428386+00:00,22253,application/octet-stream
D_DepWetSmpConcentration_CaUNITmgxL-1_LTER_EU_DE_013_10_15-03-2017.csv,2017-03-16T17:10:40.441136+00:00,21206,application/octet-stream
D_DepWetSmpConcentration_ClUNITmgxL-1_LTER_EU_DE_013_14_15-03-2017.csv,2017-03-16T17:10:40.453391+00:00,21714,application/octet-stream
D_DepWetSmpConcentration_KUNITmgxL-1_LTER_EU_DE_013_18_15-03-2017.csv,2017-03-16T17:10:40.465656+00:00,21007,application/octet-stream
D_DepWetSmpConcentration_MgUNITmgxL-1_LTER_EU_DE_013_16_15-03-2017.csv,2017-03-16T17:10:40.477906+00:00,21261,application/octet-stream
D_DepWetSmpConcentration_NaUNITmgxL-1_LTER_EU_DE_013_12_15-03-2017.csv,2017-03-16T17:10:40.490608+00:00,21199,application/octet-stream
D_DepWetSmpConcentration_NH4UNITmgxL-1_LTER_EU_DE_013_6_15-03-2017.csv,2017-03-16T17:10:40.502855+00:00,21957,application/octet-stream
D_DepWetSmpConcentration_NO3UNITmgxL-1_LTER_EU_DE_013_8_15-03-2017.csv,2017-03-16T17:10:40.515154+00:00,21978,application/octet-stream
D_DepWetSmpConcentration_SO4UNITmgxL-1_LTER_EU_DE_013_4_15-03-2017.csv,2017-03-16T17:10:40.527473+00:00,21963,application/octet-stream
D_totalDeposition TimeUNITmgxL-1_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T17:10:40.540058+00:00,18847,application/octet-stream
D_wetDeposition Time,feature,sample,DepWetSmpConcentration_SO4UNITmgxL-1_LTER_EU_DE_013_4_15-03-2017.csv,2017-03-16T17:10:40.552191+00:00,29648,application/octet-stream
D_AirTemperature_2m_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T11:35:19.945016+00:00,25782444,application/octet-stream
D_Precip11_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T11:35:19.957512+00:00,20423694,application/octet-stream
D_Precip13_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T11:35:19.970006+00:00,20472456,application/octet-stream
D_Precip5_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T11:35:19.982150+00:00,10351327,application/octet-stream
D_Precip7_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T11:35:19.994312+00:00,9544325,application/octet-stream
D_Precip9_LTER_EU_DE_013_15-03-2017.csv,2017-03-16T11:35:20.006504+00:00,9543481,application/octet-stream
eLTER_T3.4_VA_DataReporting_v1.2_eifel.xls,2017-03-16T11:35:20.018641+00:00,189952,application/vnd.ms-excel
b2share-2.0.0.tar.gz,2017-03-15T14:44:20.607703+00:00,1972785,application/x-tar
meteo_LTER_EU_BE_02_sonian_meteo20112016.xls,2017-03-14T08:30:44.376562+00:00,1199104,application/vnd.ms-excel
meteo_LTER_EU_BE_05_wijnendale_meteo20112016.xls,2017-03-14T07:38:11.533368+00:00,1124864,application/vnd.ms-excel
E-Science-Tage2017_Programmheft.pdf,2017-03-13T14:36:08.736853+00:00,14290506,application/pdf
E1_Pradio_etaBd0.0Z_freq_cube.fits,2017-03-13T12:35:20.954088+00:00,26219520,application/octet-stream
LTER_ZOEBELBODEN_AT01_WWZ_AIR_METEOROLOGY_1995_2016_daily.zip,2017-03-03T18:25:51.525250+00:00,4317454,application/zip
erlangen_cidoc.owl,2017-02-23T15:25:20.842972+00:00,432228,application/octet-stream
RDAEU_ScienceWS_Summary_Final.pdf,2017-02-16T11:19:27.250934+00:00,760971,application/pdf
recommendation-jan-2017-v8.pdf,2017-02-16T10:45:05.485645+00:00,899201,application/pdf
Self-assessment-v11.pdf,2017-02-16T10:23:24.340905+00:00,2216816,application/pdf
Lexicon_V2.xlsx,2017-02-13T08:11:11.778773+00:00,1689355,application/octet-stream
2014-04-02_beata2_60_V_plasmaline.png,2017-02-03T15:27:20.210429+00:00,239543,image/png
2014-04-02_beata_60_24hrplt_vhf.png,2017-02-03T15:27:20.223236+00:00,55459,image/png
2014-04-02_beata_60_calib-foE_vhf.png,2017-02-03T15:27:20.238441+00:00,17547,image/png
2014-04-02_beata_60_calib-foF2_vhf.png,2017-02-03T15:27:20.251006+00:00,19398,image/png
2014-04-02_beata_60_Nr_vhf.png,2017-02-03T15:27:20.264771+00:00,52119,image/png
2014-04-02_beata_60_vhf.png,2017-02-03T15:27:20.277622+00:00,80643,image/png
NCAR_2014-04-02_beata_60_vhf.bin.hdf5,2017-02-03T15:27:20.290274+00:00,12796439,application/octet-stream
Gordon WLCG Accounting - HTCondor Accounting Status 20161201v2.pptx,2017-02-01T16:39:31.950713+00:00,2288779,application/octet-stream
EUDAT2020-B2ACCESS.pptx,2017-02-01T14:41:22.384333+00:00,2335134,application/octet-stream
vegetation_LTER_EU_AT_003_10x10Plots_1993_2014.xlsx,2017-01-23T17:07:08.365575+00:00,3064701,application/octet-stream
recommendation-jan-2017-v8.pdf,2017-01-23T08:15:19.178480+00:00,899201,application/pdf
Databeleidsthemas_DANS_Grootveld_20170122.pdf,2017-01-22T14:01:55.838995+00:00,59945,application/pdf
FCS Files.zip,2017-01-13T08:34:35.145886+00:00,197311734,application/zip
LN18 Images.zip,2017-01-13T08:34:35.160817+00:00,1201443810,application/zip
V79 Images.zip,2017-01-13T08:34:35.175748+00:00,979941089,application/zip
bremen.h5.h5,2017-01-13T08:34:18.867135+00:00,1302382632,application/octet-stream
bremenSmall.h5.h5,2017-01-13T08:34:18.881719+00:00,72002416,application/octet-stream
twitter.h5.h5,2017-01-13T08:34:18.896274+00:00,265636608,application/octet-stream
twitterSmall.h5.h5,2017-01-13T08:34:18.910744+00:00,59272032,application/octet-stream
ab8d38f2-835b-11e3-b283-005056943408.gz,2017-01-13T08:34:07.007605+00:00,1570976433,application/octet-stream
c617828a-8357-11e3-8ef2-005056943408.pdf,2017-01-13T08:34:07.022227+00:00,5904362,application/pdf
querysuggestions-userstudy.xlsx,2016-12-22T10:38:09.312336+00:00,888118,application/octet-stream
EUDAT2020-DEL-WP2-D2.4-Report_on_Governance_Model.pdf,2016-12-22T10:38:06.106196+00:00,2013400,application/pdf
EUDAT2020-DEL-WP9-D9.2_Interim_Report_of_Use_of_HTTP_as_a_Federation_Technology.pdf,2016-12-22T10:38:03.056422+00:00,1331095,application/pdf
EUDAT2020-DEL-WP0-D7.1-EUDAT-EGI-Pilot-Activity_1.pdf,2016-12-22T10:37:59.894668+00:00,1218212,application/pdf
EUDAT2020-DEL-WP6-D6.pdf,2016-12-22T10:37:56.859165+00:00,3885558,application/pdf
